logdensity,dataset,model
-1.40969925871531,in-sample,functional
-1.48172775931376,in-sample,functional
-1.48575060746139,in-sample,functional
-1.48160968435926,in-sample,functional
-1.43273191097732,in-sample,functional
-1.45338172049609,in-sample,functional
-1.46399232607325,in-sample,functional
-1.44369204679327,in-sample,functional
-1.48013815389408,in-sample,functional
-1.47112015366226,in-sample,functional
-1.50300937339993,in-sample,functional
-1.46373193913611,in-sample,functional
-1.44628072351827,in-sample,functional
-1.46877678514962,in-sample,functional
-1.44507407609701,in-sample,functional
-1.4834645118288,in-sample,functional
-1.48367650440538,in-sample,functional
-1.44837555788107,in-sample,functional
-1.47785080234039,in-sample,functional
-1.4760668126766,in-sample,functional
-1.50789428566482,in-sample,functional
-1.49523079135217,in-sample,functional
-1.47204582303213,in-sample,functional
-1.43610974724369,in-sample,functional
-1.46137252936329,in-sample,functional
-1.50049609541834,in-sample,functional
-1.4566069503063,in-sample,functional
-1.50775314319899,in-sample,functional
-1.47713383075687,in-sample,functional
-1.45944771529917,in-sample,functional
-1.53063316308104,in-sample,functional
-1.48556814705215,in-sample,functional
-1.5034798506087,in-sample,functional
-1.44212640934144,in-sample,functional
-1.4571854351893,in-sample,functional
-1.45857323225383,in-sample,functional
-1.45441176525215,in-sample,functional
-1.47845050955717,in-sample,functional
-1.49443279047381,in-sample,functional
-1.46765151703891,in-sample,functional
-1.44517801249551,in-sample,functional
-1.46202811543855,in-sample,functional
-1.4652088703581,in-sample,functional
-1.48501381441382,in-sample,functional
-1.46915413111688,in-sample,functional
-1.45033622269938,in-sample,functional
-1.45598411311393,in-sample,functional
-1.50417245713012,in-sample,functional
-1.45507677479917,in-sample,functional
-1.51276301980259,in-sample,functional
-1.43529523288043,in-sample,functional
-1.50000404487483,in-sample,functional
-1.48776263024856,in-sample,functional
-1.49998340584333,in-sample,functional
-1.49766113999911,in-sample,functional
-1.44646857218361,in-sample,functional
-1.45878084906127,in-sample,functional
-1.46233368118875,in-sample,functional
-1.46466956581835,in-sample,functional
-1.45906028411911,in-sample,functional
-1.51166225623823,in-sample,functional
-1.4707533071971,in-sample,functional
-1.4627498784636,in-sample,functional
-1.49874753652597,in-sample,functional
-1.49622234517982,in-sample,functional
-1.48103588187012,in-sample,functional
-1.49767683608549,in-sample,functional
-1.49785568202127,in-sample,functional
-1.47604122786551,in-sample,functional
-1.46979621035673,in-sample,functional
-1.4809359863517,in-sample,functional
-1.48912480600586,in-sample,functional
-1.45435101551824,in-sample,functional
-1.48466707119888,in-sample,functional
-1.4594291248091,in-sample,functional
-1.46777374740845,in-sample,functional
-1.5090442374969,in-sample,functional
-1.42128221537329,in-sample,functional
-1.46992902265371,in-sample,functional
-1.47247617509841,in-sample,functional
-1.50440431455019,in-sample,functional
-1.51613441826322,in-sample,functional
-1.42860100311926,in-sample,functional
-1.48183809150154,in-sample,functional
-1.51618645868813,in-sample,functional
-1.41501032249975,in-sample,functional
-1.46502167944567,in-sample,functional
-1.4693766502824,in-sample,functional
-1.50496316525817,in-sample,functional
-1.44221288710254,in-sample,functional
-1.44166484570895,in-sample,functional
-1.41662377333459,in-sample,functional
-1.49335671992757,in-sample,functional
-1.49143329910081,in-sample,functional
-1.47416428503936,in-sample,functional
-1.46460632154303,in-sample,functional
-1.53124087684056,in-sample,functional
-1.45287823359752,in-sample,functional
-1.47084951054239,in-sample,functional
-1.45626795569945,in-sample,functional
-1.45261264469268,in-sample,functional
-1.46698128690826,in-sample,functional
-1.45119976754521,in-sample,functional
-1.40913741634463,in-sample,functional
-1.4527381979949,in-sample,functional
-1.4984361471407,in-sample,functional
-1.4842480351582,in-sample,functional
-1.44085844189675,in-sample,functional
-1.46683952253821,in-sample,functional
-1.47218936003446,in-sample,functional
-1.50781671495313,in-sample,functional
-1.4556107763622,in-sample,functional
-1.44206941824868,in-sample,functional
-1.50429111315629,in-sample,functional
-1.52529088032025,in-sample,functional
-1.51071538936951,in-sample,functional
-1.49402115394931,in-sample,functional
-1.46673538799512,in-sample,functional
-1.49894020915852,in-sample,functional
-1.49211628471598,in-sample,functional
-1.46801314548894,in-sample,functional
